央视,#genre#
cctv164k_10m,http://192.168.1.200:35455/ysptp/cctv4k16_10m.m3u8
cctv164k,http://192.168.1.200:35455/ysptp/cctv4k16.m3u8
cctv4k_10m,http://192.168.1.200:35455/ysptp/cctv4k_10m.m3u8
cctv4k,http://192.168.1.200:35455/ysptp/cctv4k.m3u8

NEWTV,#genre#
NewTV-爱情喜剧,http://192.168.1.200:35455/itv/2000000003000000010.m3u8?cdn=hnbblive
NewTV-潮妈辣婆,http://192.168.1.200:35455/itv/2000000003000000018.m3u8?cdn=hnbblive
NewTV-古装剧场,http://192.168.1.200:35455/itv/2000000003000000024.m3u8?cdn=hnbblive
NewTV-军旅剧场,http://192.168.1.200:35455/itv/2000000003000000014.m3u8?cdn=hnbblive
NewTV-军事评论,http://192.168.1.200:35455/itv/2000000003000000022.m3u8?cdn=hnbblive
NewTV-明星大片,http://192.168.1.200:35455/itv/2000000003000000016.m3u8?cdn=hnbblive
NewTV-农业致富,http://192.168.1.200:35455/itv/2000000003000000003.m3u8?cdn=hnbblive
NewTV-武博世界,http://192.168.1.200:35455/itv/2000000003000000007.m3u8?cdn=hnbblive
NewTV-中国功夫,http://192.168.1.200:35455/itv/2000000003000000009.m3u8?cdn=hnbblive
